StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2024-12-08T06:30:00Z,APXMIDP,2024-12-08,14,31.86,1624.200
2024-12-08T06:30:00Z,N2EXMIDP,2024-12-08,14,0.00,0.000
2024-12-08T06:00:00Z,APXMIDP,2024-12-08,13,9.55,1601.350
2024-12-08T06:00:00Z,N2EXMIDP,2024-12-08,13,0.00,0.000
2024-12-08T05:30:00Z,APXMIDP,2024-12-08,12,9.73,1497.300
2024-12-08T05:30:00Z,N2EXMIDP,2024-12-08,12,0.00,0.000
2024-12-08T05:00:00Z,APXMIDP,2024-12-08,11,11.17,1434.250
2024-12-08T05:00:00Z,N2EXMIDP,2024-12-08,11,0.00,0.000
2024-12-08T04:30:00Z,APXMIDP,2024-12-08,10,17.32,1304.450
2024-12-08T04:30:00Z,N2EXMIDP,2024-12-08,10,0.00,0.000
2024-12-08T04:00:00Z,APXMIDP,2024-12-08,9,20.24,1231.750
2024-12-08T04:00:00Z,N2EXMIDP,2024-12-08,9,0.00,0.000
2024-12-08T03:30:00Z,APXMIDP,2024-12-08,8,6.68,1179.150
2024-12-08T03:30:00Z,N2EXMIDP,2024-12-08,8,0.00,0.000
2024-12-08T03:00:00Z,APXMIDP,2024-12-08,7,9.07,1393.100
2024-12-08T03:00:00Z,N2EXMIDP,2024-12-08,7,0.00,0.000
2024-12-08T02:30:00Z,APXMIDP,2024-12-08,6,17.97,1238.950
2024-12-08T02:30:00Z,N2EXMIDP,2024-12-08,6,0.00,0.000
2024-12-08T02:00:00Z,APXMIDP,2024-12-08,5,21.95,1234.400
2024-12-08T02:00:00Z,N2EXMIDP,2024-12-08,5,0.00,0.000
2024-12-08T01:30:00Z,APXMIDP,2024-12-08,4,24.11,1352.700
2024-12-08T01:30:00Z,N2EXMIDP,2024-12-08,4,0.00,0.000
2024-12-08T01:00:00Z,APXMIDP,2024-12-08,3,31.31,1498.050
2024-12-08T01:00:00Z,N2EXMIDP,2024-12-08,3,0.00,0.000
2024-12-08T00:30:00Z,APXMIDP,2024-12-08,2,39.85,1594.350
2024-12-08T00:30:00Z,N2EXMIDP,2024-12-08,2,0.00,0.000
2024-12-08T00:00:00Z,APXMIDP,2024-12-08,1,32.45,1687.250
2024-12-08T00:00:00Z,N2EXMIDP,2024-12-08,1,0.00,0.000
2024-12-07T23:30:00Z,APXMIDP,2024-12-07,48,42.74,1626.000
2024-12-07T23:30:00Z,N2EXMIDP,2024-12-07,48,0.00,0.000
2024-12-07T23:00:00Z,APXMIDP,2024-12-07,47,48.95,1500.700
2024-12-07T23:00:00Z,N2EXMIDP,2024-12-07,47,0.00,0.000
2024-12-07T22:30:00Z,APXMIDP,2024-12-07,46,36.19,2626.300
2024-12-07T22:30:00Z,N2EXMIDP,2024-12-07,46,0.00,0.000
2024-12-07T22:00:00Z,APXMIDP,2024-12-07,45,54.70,2648.250
2024-12-07T22:00:00Z,N2EXMIDP,2024-12-07,45,0.00,0.000
2024-12-07T21:30:00Z,APXMIDP,2024-12-07,44,50.75,2131.600
2024-12-07T21:30:00Z,N2EXMIDP,2024-12-07,44,0.00,0.000
2024-12-07T21:00:00Z,APXMIDP,2024-12-07,43,52.51,2626.500
2024-12-07T21:00:00Z,N2EXMIDP,2024-12-07,43,0.00,0.000
2024-12-07T20:30:00Z,APXMIDP,2024-12-07,42,55.24,2350.050
2024-12-07T20:30:00Z,N2EXMIDP,2024-12-07,42,0.00,0.000
2024-12-07T20:00:00Z,APXMIDP,2024-12-07,41,71.42,2221.050
2024-12-07T20:00:00Z,N2EXMIDP,2024-12-07,41,0.00,0.000
2024-12-07T19:30:00Z,APXMIDP,2024-12-07,40,74.28,2531.950
2024-12-07T19:30:00Z,N2EXMIDP,2024-12-07,40,0.00,0.000
2024-12-07T19:00:00Z,APXMIDP,2024-12-07,39,90.06,2565.050
2024-12-07T19:00:00Z,N2EXMIDP,2024-12-07,39,0.00,0.000
2024-12-07T18:30:00Z,APXMIDP,2024-12-07,38,96.36,3327.700
2024-12-07T18:30:00Z,N2EXMIDP,2024-12-07,38,0.00,0.000
2024-12-07T18:00:00Z,APXMIDP,2024-12-07,37,99.91,3142.700
2024-12-07T18:00:00Z,N2EXMIDP,2024-12-07,37,0.00,0.000
2024-12-07T17:30:00Z,APXMIDP,2024-12-07,36,104.42,3218.400
2024-12-07T17:30:00Z,N2EXMIDP,2024-12-07,36,0.00,0.000
2024-12-07T17:00:00Z,APXMIDP,2024-12-07,35,104.14,3072.000
2024-12-07T17:00:00Z,N2EXMIDP,2024-12-07,35,0.00,0.000
2024-12-07T16:30:00Z,APXMIDP,2024-12-07,34,103.21,3236.550
2024-12-07T16:30:00Z,N2EXMIDP,2024-12-07,34,0.00,0.000
2024-12-07T16:00:00Z,APXMIDP,2024-12-07,33,101.95,2794.150
2024-12-07T16:00:00Z,N2EXMIDP,2024-12-07,33,0.00,0.000
2024-12-07T15:30:00Z,APXMIDP,2024-12-07,32,93.84,2821.850
2024-12-07T15:30:00Z,N2EXMIDP,2024-12-07,32,0.00,0.000
2024-12-07T15:00:00Z,APXMIDP,2024-12-07,31,92.40,2741.300
2024-12-07T15:00:00Z,N2EXMIDP,2024-12-07,31,0.00,0.000
2024-12-07T14:30:00Z,APXMIDP,2024-12-07,30,100.64,3431.850
2024-12-07T14:30:00Z,N2EXMIDP,2024-12-07,30,0.00,0.000
2024-12-07T14:00:00Z,APXMIDP,2024-12-07,29,104.00,3104.600
2024-12-07T14:00:00Z,N2EXMIDP,2024-12-07,29,0.00,0.000
2024-12-07T13:30:00Z,APXMIDP,2024-12-07,28,104.10,2663.450
2024-12-07T13:30:00Z,N2EXMIDP,2024-12-07,28,0.00,0.000
2024-12-07T13:00:00Z,APXMIDP,2024-12-07,27,107.54,2775.300
2024-12-07T13:00:00Z,N2EXMIDP,2024-12-07,27,0.00,0.000
2024-12-07T12:30:00Z,APXMIDP,2024-12-07,26,109.36,3162.800
2024-12-07T12:30:00Z,N2EXMIDP,2024-12-07,26,0.00,0.000
2024-12-07T12:00:00Z,APXMIDP,2024-12-07,25,110.71,2963.300
2024-12-07T12:00:00Z,N2EXMIDP,2024-12-07,25,0.00,0.000
2024-12-07T11:30:00Z,APXMIDP,2024-12-07,24,111.32,3029.200
2024-12-07T11:30:00Z,N2EXMIDP,2024-12-07,24,0.00,0.000
2024-12-07T11:00:00Z,APXMIDP,2024-12-07,23,112.44,3123.000
2024-12-07T11:00:00Z,N2EXMIDP,2024-12-07,23,0.00,0.000
2024-12-07T10:30:00Z,APXMIDP,2024-12-07,22,104.42,3972.100
2024-12-07T10:30:00Z,N2EXMIDP,2024-12-07,22,0.00,0.000
2024-12-07T10:00:00Z,APXMIDP,2024-12-07,21,101.19,3646.650
2024-12-07T10:00:00Z,N2EXMIDP,2024-12-07,21,0.00,0.000
2024-12-07T09:30:00Z,APXMIDP,2024-12-07,20,97.98,3336.900
2024-12-07T09:30:00Z,N2EXMIDP,2024-12-07,20,0.00,0.000
2024-12-07T09:00:00Z,APXMIDP,2024-12-07,19,86.04,3408.700
2024-12-07T09:00:00Z,N2EXMIDP,2024-12-07,19,0.00,0.000
2024-12-07T08:30:00Z,APXMIDP,2024-12-07,18,55.62,2962.900
2024-12-07T08:30:00Z,N2EXMIDP,2024-12-07,18,0.00,0.000
2024-12-07T08:00:00Z,APXMIDP,2024-12-07,17,32.22,2963.350
2024-12-07T08:00:00Z,N2EXMIDP,2024-12-07,17,0.00,0.000
2024-12-07T07:30:00Z,APXMIDP,2024-12-07,16,39.96,3179.800
2024-12-07T07:30:00Z,N2EXMIDP,2024-12-07,16,0.00,0.000
2024-12-07T07:00:00Z,APXMIDP,2024-12-07,15,30.16,2926.950
2024-12-07T07:00:00Z,N2EXMIDP,2024-12-07,15,0.00,0.000
2024-12-07T06:30:00Z,APXMIDP,2024-12-07,14,33.85,3171.650
2024-12-07T06:30:00Z,N2EXMIDP,2024-12-07,14,0.00,0.000
2024-12-07T06:00:00Z,APXMIDP,2024-12-07,13,32.00,3382.900
2024-12-07T06:00:00Z,N2EXMIDP,2024-12-07,13,0.00,0.000
2024-12-07T05:30:00Z,APXMIDP,2024-12-07,12,28.16,3134.250
2024-12-07T05:30:00Z,N2EXMIDP,2024-12-07,12,0.00,0.000
2024-12-07T05:00:00Z,APXMIDP,2024-12-07,11,32.12,3328.900
2024-12-07T05:00:00Z,N2EXMIDP,2024-12-07,11,0.00,0.000
2024-12-07T04:30:00Z,APXMIDP,2024-12-07,10,49.88,2575.800
2024-12-07T04:30:00Z,N2EXMIDP,2024-12-07,10,0.00,0.000
2024-12-07T04:00:00Z,APXMIDP,2024-12-07,9,46.49,2472.850
2024-12-07T04:00:00Z,N2EXMIDP,2024-12-07,9,0.00,0.000
2024-12-07T03:30:00Z,APXMIDP,2024-12-07,8,42.44,1702.600
2024-12-07T03:30:00Z,N2EXMIDP,2024-12-07,8,0.00,0.000
2024-12-07T03:00:00Z,APXMIDP,2024-12-07,7,39.10,1597.950
2024-12-07T03:00:00Z,N2EXMIDP,2024-12-07,7,0.00,0.000
2024-12-07T02:30:00Z,APXMIDP,2024-12-07,6,42.78,2187.500
2024-12-07T02:30:00Z,N2EXMIDP,2024-12-07,6,0.00,0.000
2024-12-07T02:00:00Z,APXMIDP,2024-12-07,5,44.91,2264.100
2024-12-07T02:00:00Z,N2EXMIDP,2024-12-07,5,0.00,0.000
2024-12-07T01:30:00Z,APXMIDP,2024-12-07,4,50.35,2066.050
2024-12-07T01:30:00Z,N2EXMIDP,2024-12-07,4,0.00,0.000
2024-12-07T01:00:00Z,APXMIDP,2024-12-07,3,54.10,2195.450
2024-12-07T01:00:00Z,N2EXMIDP,2024-12-07,3,0.00,0.000
2024-12-07T00:30:00Z,APXMIDP,2024-12-07,2,57.93,2509.550
2024-12-07T00:30:00Z,N2EXMIDP,2024-12-07,2,0.00,0.000
2024-12-07T00:00:00Z,APXMIDP,2024-12-07,1,56.56,2357.400
2024-12-07T00:00:00Z,N2EXMIDP,2024-12-07,1,0.00,0.000
2024-12-06T23:30:00Z,APXMIDP,2024-12-06,48,66.03,2443.150
2024-12-06T23:30:00Z,N2EXMIDP,2024-12-06,48,0.00,0.000
2024-12-06T23:00:00Z,APXMIDP,2024-12-06,47,65.82,2325.250
2024-12-06T23:00:00Z,N2EXMIDP,2024-12-06,47,0.00,0.000
2024-12-06T22:30:00Z,APXMIDP,2024-12-06,46,70.79,2847.850
2024-12-06T22:30:00Z,N2EXMIDP,2024-12-06,46,0.00,0.000
2024-12-06T22:00:00Z,APXMIDP,2024-12-06,45,77.97,2701.200
2024-12-06T22:00:00Z,N2EXMIDP,2024-12-06,45,0.00,0.000
2024-12-06T21:30:00Z,APXMIDP,2024-12-06,44,81.05,2473.000
2024-12-06T21:30:00Z,N2EXMIDP,2024-12-06,44,0.00,0.000
2024-12-06T21:00:00Z,APXMIDP,2024-12-06,43,82.77,2789.900
2024-12-06T21:00:00Z,N2EXMIDP,2024-12-06,43,0.00,0.000
2024-12-06T20:30:00Z,APXMIDP,2024-12-06,42,88.67,3613.850
2024-12-06T20:30:00Z,N2EXMIDP,2024-12-06,42,0.00,0.000
2024-12-06T20:00:00Z,APXMIDP,2024-12-06,41,90.23,3263.600
2024-12-06T20:00:00Z,N2EXMIDP,2024-12-06,41,0.00,0.000
2024-12-06T19:30:00Z,APXMIDP,2024-12-06,40,99.38,3552.450
2024-12-06T19:30:00Z,N2EXMIDP,2024-12-06,40,0.00,0.000
2024-12-06T19:00:00Z,APXMIDP,2024-12-06,39,90.42,2934.450
2024-12-06T19:00:00Z,N2EXMIDP,2024-12-06,39,0.00,0.000
2024-12-06T18:30:00Z,APXMIDP,2024-12-06,38,98.08,3096.700
2024-12-06T18:30:00Z,N2EXMIDP,2024-12-06,38,0.00,0.000
2024-12-06T18:00:00Z,APXMIDP,2024-12-06,37,110.76,3476.550
2024-12-06T18:00:00Z,N2EXMIDP,2024-12-06,37,0.00,0.000
2024-12-06T17:30:00Z,APXMIDP,2024-12-06,36,104.55,2916.100
2024-12-06T17:30:00Z,N2EXMIDP,2024-12-06,36,0.00,0.000
2024-12-06T17:00:00Z,APXMIDP,2024-12-06,35,112.35,3015.500
2024-12-06T17:00:00Z,N2EXMIDP,2024-12-06,35,0.00,0.000
2024-12-06T16:30:00Z,APXMIDP,2024-12-06,34,105.16,2660.700
2024-12-06T16:30:00Z,N2EXMIDP,2024-12-06,34,0.00,0.000
2024-12-06T16:00:00Z,APXMIDP,2024-12-06,33,111.15,2554.700
2024-12-06T16:00:00Z,N2EXMIDP,2024-12-06,33,0.00,0.000
2024-12-06T15:30:00Z,APXMIDP,2024-12-06,32,106.25,2628.800
2024-12-06T15:30:00Z,N2EXMIDP,2024-12-06,32,0.00,0.000
2024-12-06T15:00:00Z,APXMIDP,2024-12-06,31,107.84,2545.950
2024-12-06T15:00:00Z,N2EXMIDP,2024-12-06,31,0.00,0.000
2024-12-06T14:30:00Z,APXMIDP,2024-12-06,30,97.11,2544.800
2024-12-06T14:30:00Z,N2EXMIDP,2024-12-06,30,0.00,0.000
2024-12-06T14:00:00Z,APXMIDP,2024-12-06,29,98.88,2788.950
2024-12-06T14:00:00Z,N2EXMIDP,2024-12-06,29,0.00,0.000
2024-12-06T13:30:00Z,APXMIDP,2024-12-06,28,99.82,3093.750
2024-12-06T13:30:00Z,N2EXMIDP,2024-12-06,28,0.00,0.000
2024-12-06T13:00:00Z,APXMIDP,2024-12-06,27,99.80,2965.650
2024-12-06T13:00:00Z,N2EXMIDP,2024-12-06,27,0.00,0.000
2024-12-06T12:30:00Z,APXMIDP,2024-12-06,26,104.20,2244.250
2024-12-06T12:30:00Z,N2EXMIDP,2024-12-06,26,0.00,0.000
2024-12-06T12:00:00Z,APXMIDP,2024-12-06,25,101.51,2218.800
