StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2025-06-09T05:30:00Z,APXMIDP,2025-06-09,14,89.17,1857.200
2025-06-09T05:30:00Z,N2EXMIDP,2025-06-09,14,0.00,0.000
2025-06-09T05:00:00Z,APXMIDP,2025-06-09,13,89.98,1288.550
2025-06-09T05:00:00Z,N2EXMIDP,2025-06-09,13,0.00,0.000
2025-06-09T04:30:00Z,APXMIDP,2025-06-09,12,77.72,1821.300
2025-06-09T04:30:00Z,N2EXMIDP,2025-06-09,12,0.00,0.000
2025-06-09T04:00:00Z,APXMIDP,2025-06-09,11,76.05,1897.150
2025-06-09T04:00:00Z,N2EXMIDP,2025-06-09,11,0.00,0.000
2025-06-09T03:30:00Z,APXMIDP,2025-06-09,10,70.75,1500.300
2025-06-09T03:30:00Z,N2EXMIDP,2025-06-09,10,0.00,0.000
2025-06-09T03:00:00Z,APXMIDP,2025-06-09,9,70.85,1476.250
2025-06-09T03:00:00Z,N2EXMIDP,2025-06-09,9,0.00,0.000
2025-06-09T02:30:00Z,APXMIDP,2025-06-09,8,66.38,1541.600
2025-06-09T02:30:00Z,N2EXMIDP,2025-06-09,8,0.00,0.000
2025-06-09T02:00:00Z,APXMIDP,2025-06-09,7,64.28,1566.650
2025-06-09T02:00:00Z,N2EXMIDP,2025-06-09,7,0.00,0.000
2025-06-09T01:30:00Z,APXMIDP,2025-06-09,6,63.09,1681.600
2025-06-09T01:30:00Z,N2EXMIDP,2025-06-09,6,0.00,0.000
2025-06-09T01:00:00Z,APXMIDP,2025-06-09,5,64.18,1598.200
2025-06-09T01:00:00Z,N2EXMIDP,2025-06-09,5,0.00,0.000
2025-06-09T00:30:00Z,APXMIDP,2025-06-09,4,64.17,1602.800
2025-06-09T00:30:00Z,N2EXMIDP,2025-06-09,4,0.00,0.000
2025-06-09T00:00:00Z,APXMIDP,2025-06-09,3,64.20,1548.600
2025-06-09T00:00:00Z,N2EXMIDP,2025-06-09,3,0.00,0.000
2025-06-08T23:30:00Z,APXMIDP,2025-06-09,2,65.74,1734.150
2025-06-08T23:30:00Z,N2EXMIDP,2025-06-09,2,0.00,0.000
2025-06-08T23:00:00Z,APXMIDP,2025-06-09,1,78.30,1585.450
2025-06-08T23:00:00Z,N2EXMIDP,2025-06-09,1,0.00,0.000
2025-06-08T22:30:00Z,APXMIDP,2025-06-08,48,81.19,1339.550
2025-06-08T22:30:00Z,N2EXMIDP,2025-06-08,48,0.00,0.000
2025-06-08T22:00:00Z,APXMIDP,2025-06-08,47,83.30,1732.700
2025-06-08T22:00:00Z,N2EXMIDP,2025-06-08,47,0.00,0.000
2025-06-08T21:30:00Z,APXMIDP,2025-06-08,46,80.72,2990.850
2025-06-08T21:30:00Z,N2EXMIDP,2025-06-08,46,0.00,0.000
2025-06-08T21:00:00Z,APXMIDP,2025-06-08,45,82.28,2941.550
2025-06-08T21:00:00Z,N2EXMIDP,2025-06-08,45,0.00,0.000
2025-06-08T20:30:00Z,APXMIDP,2025-06-08,44,86.76,3155.350
2025-06-08T20:30:00Z,N2EXMIDP,2025-06-08,44,0.00,0.000
2025-06-08T20:00:00Z,APXMIDP,2025-06-08,43,86.25,3334.000
2025-06-08T20:00:00Z,N2EXMIDP,2025-06-08,43,0.00,0.000
2025-06-08T19:30:00Z,APXMIDP,2025-06-08,42,81.60,2800.250
2025-06-08T19:30:00Z,N2EXMIDP,2025-06-08,42,0.00,0.000
2025-06-08T19:00:00Z,APXMIDP,2025-06-08,41,84.19,2771.350
2025-06-08T19:00:00Z,N2EXMIDP,2025-06-08,41,0.00,0.000
2025-06-08T18:30:00Z,APXMIDP,2025-06-08,40,88.68,2576.250
2025-06-08T18:30:00Z,N2EXMIDP,2025-06-08,40,0.00,0.000
2025-06-08T18:00:00Z,APXMIDP,2025-06-08,39,82.51,2610.600
2025-06-08T18:00:00Z,N2EXMIDP,2025-06-08,39,0.00,0.000
2025-06-08T17:30:00Z,APXMIDP,2025-06-08,38,87.23,2720.950
2025-06-08T17:30:00Z,N2EXMIDP,2025-06-08,38,0.00,0.000
2025-06-08T17:00:00Z,APXMIDP,2025-06-08,37,78.33,2542.300
